Zip,City,State,Region,District
16141,"New Galilee, PA",PA,East,District #13
16142,"New Wilmington, PA",PA,East,District #13
16143,"Pulaski, PA",PA,East,District #13
16151,"Sheakleyville, PA",PA,East,District #13
16155,"Villa Maria, PA",PA,East,District #13
16156,"Volant, PA",PA,East,District #13
16157,"Wampum, PA",PA,East,District #13
16160,"West Pittsburg, PA",PA,East,District #13
16172,"New Wilmington, PA",PA,East,District #13
16201,"Kittanning, PA",PA,East,District #13
16210,"Adrian, PA",PA,East,District #13
16211,"Beyer, PA",PA,East,District #13
16212,"Cadogan, PA",PA,East,District #13
16213,"Callensburg, PA",PA,East,District #13
16214,"Clarion, PA",PA,East,District #13
16217,"Cooksburg, PA",PA,East,District #13
16218,"Cowansville, PA",PA,East,District #13
16220,"Crown, PA",PA,East,District #13
16221,"Curllsville, PA",PA,East,District #13
16222,"Dayton, PA",PA,East,District #13
16223,"Distant, PA",PA,East,District #13
16224,"Fairmount City, PA",PA,East,District #13
16225,"Fisher, PA",PA,East,District #13
16226,"Ford City, PA",PA,East,District #13
16228,"Ford Cliff, PA",PA,East,District #13
16229,"Freeport, PA",PA,East,District #13
16230,"Hawthorn, PA",PA,East,District #13
16232,"Knox, PA",PA,East,District #13
16233,"Leeper, PA",PA,East,District #13
16234,"Limestone, PA",PA,East,District #13
16235,"Lucinda, PA",PA,East,District #13
16236,"Mc Grann, PA",PA,East,District #13
16238,"Manorville, PA",PA,East,District #13
16239,"Marienville, PA",PA,East,District #13
16240,"Mayport, PA",PA,East,District #13
16242,"New Bethlehem, PA",PA,East,District #13
16244,"Nu Mine, PA",PA,East,District #13
16245,"Oak Ridge, PA",PA,East,District #13
16246,"Plumville, PA",PA,East,District #13
16248,"Rimersburg, PA",PA,East,District #13
16249,"Rural Valley, PA",PA,East,District #13
16250,"Sagamore, PA",PA,East,District #13
16253,"Seminole, PA",PA,East,District #13
16254,"Shippenville, PA",PA,East,District #13
16255,"Sligo, PA",PA,East,District #13
16256,"Smicksburg, PA",PA,East,District #13
16257,"Snydersburg, PA",PA,East,District #13
16258,"Strattanville, PA",PA,East,District #13
16259,"Templeton, PA",PA,East,District #13
16260,"Vowinckel, PA",PA,East,District #13
16261,"Widnoon, PA",PA,East,District #13
16262,"Worthington, PA",PA,East,District #13
16263,"Yatesboro, PA",PA,East,District #13
16301,"Oil City, PA",PA,East,District #13
16311,"Carlton, PA",PA,East,District #13
16314,"Cochranton, PA",PA,East,District #13
16316,"Conneaut Lake, PA",PA,East,District #13
16317,"Cooperstown, PA",PA,East,District #13
16319,"Cranberry, PA",PA,East,District #13
16322,"Endeavor, PA",PA,East,District #13
16323,"Franklin, PA",PA,East,District #13
16326,"Fryburg, PA",PA,East,District #13
16327,"Guys Mills, PA",PA,East,District #13
16328,"Hydetown, PA",PA,East,District #13
16331,"Kossuth, PA",PA,East,District #13
16332,"Lickingville, PA",PA,East,District #13
16334,"Marble, PA",PA,East,District #13
16335,"Meadville, PA",PA,East,District #13
16341,"Pleasantville, PA",PA,East,District #13
16343,"Reno, PA",PA,East,District #13
16344,"Rouseville, PA",PA,East,District #13
16346,"Seneca, PA",PA,East,District #13
16353,"Tionesta, PA",PA,East,District #13
16354,"Titusville, PA",PA,East,District #13
16360,"Townville, PA",PA,East,District #13
16361,"Tylersburg, PA",PA,East,District #13
16362,"Utica, PA",PA,East,District #13
16364,"Venus, PA",PA,East,District #13
16370,"West Hickory, PA",PA,East,District #13
16372,"Clintonville, PA",PA,East,District #13
16373,"Emlenton, PA",PA,East,District #13
16374,"Kennerdell, PA",PA,East,District #13
16375,"Lamartine, PA",PA,East,District #13
16388,"Meadville, PA",PA,East,District #13
16403,"Cambridge Springs, PA",PA,East,District #13
16404,"Centerville, PA",PA,East,District #13
16406,"Conneautville, PA",PA,East,District #13
16422,"Harmonsburg, PA",PA,East,District #13
16424,"Linesville, PA",PA,East,District #13
16432,"Riceville, PA",PA,East,District #13
16433,"Saegertown, PA",PA,East,District #13
16434,"Spartansburg, PA",PA,East,District #13
16435,"Springboro, PA",PA,East,District #13
16436,"Spring Creek, PA",PA,East,District #13
16440,"Venango, PA",PA,East,District #13
16601,"Altoona, PA",PA,East,District #13
16602,"Altoona, PA",PA,East,District #13
16603,"Altoona, PA",PA,East,District #13
16611,"Alexandria, PA",PA,East,District #13
16613,"Ashville, PA",PA,East,District #13
16616,"Beccaria, PA",PA,East,District #13
16617,"Bellwood, PA",PA,East,District #13
16619,"Blandburg, PA",PA,East,District #13
16620,"Brisbin, PA",PA,East,District #13
16621,"Broad Top, PA",PA,East,District #13
16622,"Calvin, PA",PA,East,District #13
16623,"Cassville, PA",PA,East,District #13
16624,"Chest Springs, PA",PA,East,District #13
16625,"Claysburg, PA",PA,East,District #13
16627,"Coalport, PA",PA,East,District #13
16629,"Coupon, PA",PA,East,District #13
16630,"Cresson, PA",PA,East,District #13
16631,"Curryville, PA",PA,East,District #13
16633,"Defiance, PA",PA,East,District #13
16634,"Dudley, PA",PA,East,District #13
16635,"Duncansville, PA",PA,East,District #13
16636,"Dysart, PA",PA,East,District #13
16637,"East Freedom, PA",PA,East,District #13
16638,"Entriken, PA",PA,East,District #13
16639,"Fallentimber, PA",PA,East,District #13
16640,"Flinton, PA",PA,East,District #13
16641,"Gallitzin, PA",PA,East,District #13
16644,"Glasgow, PA",PA,East,District #13
16645,"Glen Hope, PA",PA,East,District #13
16646,"Hastings, PA",PA,East,District #13
16647,"Hesston, PA",PA,East,District #13
16648,"Hollidaysburg, PA",PA,East,District #13
16650,"Hopewell, PA",PA,East,District #13
16651,"Houtzdale, PA",PA,East,District #13
16652,"Huntingdon, PA",PA,East,District #13
16654,"Huntingdon, PA",PA,East,District #13
16655,"Imler, PA",PA,East,District #13
16656,"Irvona, PA",PA,East,District #13
16657,"James Creek, PA",PA,East,District #13
16659,"Loysburg, PA",PA,East,District #13
16660,"Mc Connellstown, PA",PA,East,District #13
16661,"Madera, PA",PA,East,District #13
16662,"Martinsburg, PA",PA,East,District #13
16663,"Morann, PA",PA,East,District #13
16664,"New Enterprise, PA",PA,East,District #13
16665,"Newry, PA",PA,East,District #13
16666,"Osceola Mills, PA",PA,East,District #13
16667,"Osterburg, PA",PA,East,District #13
16668,"Patton, PA",PA,East,District #13
16669,"Petersburg, PA",PA,East,District #13
16670,"Queen, PA",PA,East,District #13
16671,"Ramey, PA",PA,East,District #13
16672,"Riddlesburg, PA",PA,East,District #13
16673,"Roaring Spring, PA",PA,East,District #13
16674,"Robertsdale, PA",PA,East,District #13
16675,"Saint Boniface, PA",PA,East,District #13
16678,"Saxton, PA",PA,East,District #13
16679,"Six Mile Run, PA",PA,East,District #13
16680,"Smithmill, PA",PA,East,District #13
16681,"Smokerun, PA",PA,East,District #13
16682,"Sproul, PA",PA,East,District #13
16683,"Spruce Creek, PA",PA,East,District #13
16684,"Tipton, PA",PA,East,District #13
16685,"Todd, PA",PA,East,District #13
16686,"Tyrone, PA",PA,East,District #13
16692,"Westover, PA",PA,East,District #13
16693,"Williamsburg, PA",PA,East,District #13
16694,"Wood, PA",PA,East,District #13
16695,"Woodbury, PA",PA,East,District #13
16698,"Houtzdale, PA",PA,East,District #13
16699,"Cresson, PA",PA,East,District #13
16728,"De Young, PA",PA,East,District #13
16734,"James City, PA",PA,East,District #13
16735,"Kane, PA",PA,East,District #13
16821,"Allport, PA",PA,East,District #13
16825,"Bigler, PA",PA,East,District #13
16830,"Clearfield, PA",PA,East,District #13
16833,"Curwensville, PA",PA,East,District #13
16834,"Drifting, PA",PA,East,District #13
16836,"Frenchville, PA",PA,East,District #13
16837,"Glen Richey, PA",PA,East,District #13
16838,"Grampian, PA",PA,East,District #13
16839,"Grassflat, PA",PA,East,District #13
16840,"Hawk Run, PA",PA,East,District #13
16843,"Hyde, PA",PA,East,District #13
16845,"Karthaus, PA",PA,East,District #13
16847,"Kylertown, PA",PA,East,District #13
16849,"Lanse, PA",PA,East,District #13
16850,"Lecontes Mills, PA",PA,East,District #13
16855,"Mineral Springs, PA",PA,East,District #13
16858,"Morrisdale, PA",PA,East,District #13
16860,"Munson, PA",PA,East,District #13
16861,"New Millport, PA",PA,East,District #13
16863,"Olanta, PA",PA,East,District #13
16871,"Pottersdale, PA",PA,East,District #13
16873,"Shawville, PA",PA,East,District #13
16876,"Wallaceton, PA",PA,East,District #13
16877,"Warriors Mark, PA",PA,East,District #13
16878,"West Decatur, PA",PA,East,District #13
16879,"Winburne, PA",PA,East,District #13
16881,"Woodland, PA",PA,East,District #13
17052,"Mapleton Depot, PA",PA,East,District #13
17060,"Mill Creek, PA",PA,East,District #13
17066,"Mount Union, PA",PA,East,District #13
17075,"Newton Hamilton, PA",PA,East,District #13
15001,"Aliquippa, PA",PA,East,District #13
15003,"Ambridge, PA",PA,East,District #13
15004,"Atlasburg, PA",PA,East,District #13
15005,"Baden, PA",PA,East,District #13
15006,"Bairdford, PA",PA,East,District #13
15007,"Bakerstown, PA",PA,East,District #13
15009,"Beaver, PA",PA,East,District #13
15010,"Beaver Falls, PA",PA,East,District #13
15012,"Belle Vernon, PA",PA,East,District #13
15014,"Brackenridge, PA",PA,East,District #13
15015,"Bradfordwoods, PA",PA,East,District #13
15017,"Bridgeville, PA",PA,East,District #13
15018,"Buena Vista, PA",PA,East,District #13
15019,"Bulger, PA",PA,East,District #13
15020,"Bunola, PA",PA,East,District #13
15021,"Burgettstown, PA",PA,East,District #13
15022,"Charleroi, PA",PA,East,District #13
15024,"Cheswick, PA",PA,East,District #13
15025,"Clairton, PA",PA,East,District #13
15026,"Clinton, PA",PA,East,District #13
15027,"Conway, PA",PA,East,District #13
15028,"Coulters, PA",PA,East,District #13
15030,"Creighton, PA",PA,East,District #13
15031,"Cuddy, PA",PA,East,District #13
15032,"Curtisville, PA",PA,East,District #13
15033,"Donora, PA",PA,East,District #13
15034,"Dravosburg, PA",PA,East,District #13
15035,"East Mc Keesport, PA",PA,East,District #13
15037,"Elizabeth, PA",PA,East,District #13
15038,"Elrama, PA",PA,East,District #13
15042,"Freedom, PA",PA,East,District #13
15043,"Georgetown, PA",PA,East,District #13
15044,"Gibsonia, PA",PA,East,District #13
15045,"Glassport, PA",PA,East,District #13
15046,"Crescent, PA",PA,East,District #13
15047,"Greenock, PA",PA,East,District #13
15049,"Harwick, PA",PA,East,District #13
15050,"Hookstown, PA",PA,East,District #13
15051,"Indianola, PA",PA,East,District #13
15052,"Industry, PA",PA,East,District #13
15053,"Joffre, PA",PA,East,District #13
15054,"Langeloth, PA",PA,East,District #13
15055,"Lawrence, PA",PA,East,District #13
15056,"Leetsdale, PA",PA,East,District #13
15057,"Mc Donald, PA",PA,East,District #13
15059,"Midland, PA",PA,East,District #13
15060,"Midway, PA",PA,East,District #13
15061,"Monaca, PA",PA,East,District #13
15062,"Monessen, PA",PA,East,District #13
15063,"Monongahela, PA",PA,East,District #13
15064,"Morgan, PA",PA,East,District #13
15065,"Natrona Heights, PA",PA,East,District #13
15066,"New Brighton, PA",PA,East,District #13
15067,"New Eagle, PA",PA,East,District #13
15068,"New Kensington, PA",PA,East,District #13
15069,"New Kensington, PA",PA,East,District #13
15071,"Oakdale, PA",PA,East,District #13
15072,"Pricedale, PA",PA,East,District #13
15074,"Rochester, PA",PA,East,District #13
15075,"Rural Ridge, PA",PA,East,District #13
15076,"Russellton, PA",PA,East,District #13
15077,"Shippingport, PA",PA,East,District #13
15078,"Slovan, PA",PA,East,District #13
15081,"South Heights, PA",PA,East,District #13
15082,"Sturgeon, PA",PA,East,District #13
15083,"Sutersville, PA",PA,East,District #13
15084,"Tarentum, PA",PA,East,District #13
15085,"Trafford, PA",PA,East,District #13
15086,"Warrendale, PA",PA,East,District #13
15087,"Webster, PA",PA,East,District #13
15088,"West Elizabeth, PA",PA,East,District #13
15089,"West Newton, PA",PA,East,District #13
15090,"Wexford, PA",PA,East,District #13
15091,"Wildwood, PA",PA,East,District #13
15095,"Warrendale, PA",PA,East,District #13
15096,"Warrendale, PA",PA,East,District #13
15101,"Allison Park, PA",PA,East,District #13
15102,"Bethel Park, PA",PA,East,District #13
15104,"Braddock, PA",PA,East,District #13
15106,"Carnegie, PA",PA,East,District #13
15108,"Coraopolis, PA",PA,East,District #13
15110,"Duquesne, PA",PA,East,District #13
15112,"East Pittsburgh, PA",PA,East,District #13
15116,"Glenshaw, PA",PA,East,District #13
15120,"Homestead, PA",PA,East,District #13
15122,"West Mifflin, PA",PA,East,District #13
15123,"West Mifflin, PA",PA,East,District #13
15126,"Imperial, PA",PA,East,District #13
15127,"Ingomar, PA",PA,East,District #13
15129,"South Park, PA",PA,East,District #13
15131,"Mckeesport, PA",PA,East,District #13
15132,"Mckeesport, PA",PA,East,District #13
15133,"Mckeesport, PA",PA,East,District #13
15134,"Mckeesport, PA",PA,East,District #13
15135,"Mckeesport, PA",PA,East,District #13
15136,"Mc Kees Rocks, PA",PA,East,District #13
15137,"North Versailles, PA",PA,East,District #13
15139,"Oakmont, PA",PA,East,District #13
15140,"Pitcairn, PA",PA,East,District #13
15142,"Presto, PA",PA,East,District #13
15143,"Sewickley, PA",PA,East,District #13
15144,"Springdale, PA",PA,East,District #13
15145,"Turtle Creek, PA",PA,East,District #13
15146,"Monroeville, PA",PA,East,District #13
15147,"Verona, PA",PA,East,District #13
15148,"Wilmerding, PA",PA,East,District #13
15301,"Washington, PA",PA,East,District #13
15311,"Amity, PA",PA,East,District #13
15312,"Avella, PA",PA,East,District #13
15313,"Beallsville, PA",PA,East,District #13
15314,"Bentleyville, PA",PA,East,District #13
15315,"Bobtown, PA",PA,East,District #13
15316,"Brave, PA",PA,East,District #13
15317,"Canonsburg, PA",PA,East,District #13
15320,"Carmichaels, PA",PA,East,District #13
15321,"Cecil, PA",PA,East,District #13
15322,"Clarksville, PA",PA,East,District #13
15323,"Claysville, PA",PA,East,District #13
15324,"Cokeburg, PA",PA,East,District #13
15325,"Crucible, PA",PA,East,District #13
15327,"Dilliner, PA",PA,East,District #13
15329,"Prosperity, PA",PA,East,District #13
15330,"Eighty Four, PA",PA,East,District #13
15331,"Ellsworth, PA",PA,East,District #13
15332,"Finleyville, PA",PA,East,District #13
15333,"Fredericktown, PA",PA,East,District #13
15334,"Garards Fort, PA",PA,East,District #13
15336,"Gastonville, PA",PA,East,District #13
15337,"Graysville, PA",PA,East,District #13
15338,"Greensboro, PA",PA,East,District #13
15339,"Hendersonville, PA",PA,East,District #13
15340,"Hickory, PA",PA,East,District #13
15341,"Holbrook, PA",PA,East,District #13
15342,"Houston, PA",PA,East,District #13
15344,"Jefferson, PA",PA,East,District #13
15345,"Marianna, PA",PA,East,District #13
15346,"Mather, PA",PA,East,District #13
15347,"Meadow Lands, PA",PA,East,District #13
15348,"Millsboro, PA",PA,East,District #13
15349,"Mount Morris, PA",PA,East,District #13
15350,"Muse, PA",PA,East,District #13
15351,"Nemacolin, PA",PA,East,District #13
15353,"Nineveh, PA",PA,East,District #13
15357,"Rices Landing, PA",PA,East,District #13
15358,"Richeyville, PA",PA,East,District #13
15359,"Rogersville, PA",PA,East,District #13
15360,"Scenery Hill, PA",PA,East,District #13
15361,"Southview, PA",PA,East,District #13
15362,"Spraggs, PA",PA,East,District #13
15363,"Strabane, PA",PA,East,District #13
15364,"Sycamore, PA",PA,East,District #13
15365,"Taylorstown, PA",PA,East,District #13
15366,"Van Voorhis, PA",PA,East,District #13
15367,"Venetia, PA",PA,East,District #13
15368,"Vestaburg, PA",PA,East,District #13
15370,"Waynesburg, PA",PA,East,District #13
15378,"Westland, PA",PA,East,District #13
15379,"West Middletown, PA",PA,East,District #13
15401,"Uniontown, PA",PA,East,District #13
15410,"Adah, PA",PA,East,District #13
15411,"Addison, PA",PA,East,District #13
15412,"Allenport, PA",PA,East,District #13
15413,"Allison, PA",PA,East,District #13
15415,"Brier Hill, PA",PA,East,District #13
15416,"Brownfield, PA",PA,East,District #13
15417,"Brownsville, PA",PA,East,District #13
15419,"California, PA",PA,East,District #13
15420,"Cardale, PA",PA,East,District #13
15421,"Chalk Hill, PA",PA,East,District #13
15422,"Chestnut Ridge, PA",PA,East,District #13
15423,"Coal Center, PA",PA,East,District #13
15424,"Confluence, PA",PA,East,District #13
15425,"Connellsville, PA",PA,East,District #13
15427,"Daisytown, PA",PA,East,District #13
15428,"Dawson, PA",PA,East,District #13
15429,"Denbo, PA",PA,East,District #13
15430,"Dickerson Run, PA",PA,East,District #13
15431,"Dunbar, PA",PA,East,District #13
15432,"Dunlevy, PA",PA,East,District #13
15433,"East Millsboro, PA",PA,East,District #13
15434,"Elco, PA",PA,East,District #13
15435,"Fairbank, PA",PA,East,District #13
15436,"Fairchance, PA",PA,East,District #13
15437,"Farmington, PA",PA,East,District #13
15438,"Fayette City, PA",PA,East,District #13
15439,"Gans, PA",PA,East,District #13
15440,"Gibbon Glade, PA",PA,East,District #13
15442,"Grindstone, PA",PA,East,District #13
15443,"Hibbs, PA",PA,East,District #13
15444,"Hiller, PA",PA,East,District #13
15445,"Hopwood, PA",PA,East,District #13
15446,"Indian Head, PA",PA,East,District #13
15447,"Isabella, PA",PA,East,District #13
15448,"Jacobs Creek, PA",PA,East,District #13
15449,"Keisterville, PA",PA,East,District #13
15450,"La Belle, PA",PA,East,District #13
15451,"Lake Lynn, PA",PA,East,District #13
15454,"Leckrone, PA",PA,East,District #13
15455,"Leisenring, PA",PA,East,District #13
15456,"Lemont Furnace, PA",PA,East,District #13
15458,"Mc Clellandtown, PA",PA,East,District #13
15459,"Markleysburg, PA",PA,East,District #13
15460,"Martin, PA",PA,East,District #13
15461,"Masontown, PA",PA,East,District #13
15462,"Melcroft, PA",PA,East,District #13
15463,"Merrittstown, PA",PA,East,District #13
15464,"Mill Run, PA",PA,East,District #13
15465,"Mount Braddock, PA",PA,East,District #13
15466,"Newell, PA",PA,East,District #13
15467,"New Geneva, PA",PA,East,District #13
15468,"New Salem, PA",PA,East,District #13
15469,"Normalville, PA",PA,East,District #13
15470,"Ohiopyle, PA",PA,East,District #13
15472,"Oliver, PA",PA,East,District #13
15473,"Perryopolis, PA",PA,East,District #13
15474,"Point Marion, PA",PA,East,District #13
15475,"Republic, PA",PA,East,District #13
15476,"Ronco, PA",PA,East,District #13
15477,"Roscoe, PA",PA,East,District #13
15478,"Smithfield, PA",PA,East,District #13
15479,"Smithton, PA",PA,East,District #13
15480,"Smock, PA",PA,East,District #13
15482,"Star Junction, PA",PA,East,District #13
15483,"Stockdale, PA",PA,East,District #13
15484,"Uledi, PA",PA,East,District #13
15485,"Ursina, PA",PA,East,District #13
15486,"Vanderbilt, PA",PA,East,District #13
15488,"Waltersburg, PA",PA,East,District #13
15489,"West Leisenring, PA",PA,East,District #13
15490,"White, PA",PA,East,District #13
15492,"Wickhaven, PA",PA,East,District #13
15501,"Somerset, PA",PA,East,District #13
15502,"Hidden Valley, PA",PA,East,District #13
15510,"Somerset, PA",PA,East,District #13
15520,"Acosta, PA",PA,East,District #13
15521,"Alum Bank, PA",PA,East,District #13
15522,"Bedford, PA",PA,East,District #13
15530,"Berlin, PA",PA,East,District #13
15531,"Boswell, PA",PA,East,District #13
15532,"Boynton, PA",PA,East,District #13
15534,"Buffalo Mills, PA",PA,East,District #13
15535,"Clearville, PA",PA,East,District #13
15537,"Everett, PA",PA,East,District #13
15538,"Fairhope, PA",PA,East,District #13
15539,"Fishertown, PA",PA,East,District #13
15540,"Fort Hill, PA",PA,East,District #13
15541,"Friedens, PA",PA,East,District #13
15542,"Garrett, PA",PA,East,District #13
15544,"Gray, PA",PA,East,District #13
15545,"Hyndman, PA",PA,East,District #13
15546,"Jenners, PA",PA,East,District #13
15547,"Jennerstown, PA",PA,East,District #13
15548,"Kantner, PA",PA,East,District #13
15549,"Listie, PA",PA,East,District #13
15550,"Manns Choice, PA",PA,East,District #13
15551,"Markleton, PA",PA,East,District #13
15552,"Meyersdale, PA",PA,East,District #13
15553,"New Baltimore, PA",PA,East,District #13
15554,"New Paris, PA",PA,East,District #13
15555,"Quecreek, PA",PA,East,District #13
15557,"Rockwood, PA",PA,East,District #13
15558,"Salisbury, PA",PA,East,District #13
15559,"Schellsburg, PA",PA,East,District #13
15560,"Shanksville, PA",PA,East,District #13
15561,"Sipesville, PA",PA,East,District #13
15562,"Springs, PA",PA,East,District #13
15563,"Stoystown, PA",PA,East,District #13
15564,"Wellersburg, PA",PA,East,District #13
15565,"West Salisbury, PA",PA,East,District #13
15601,"Greensburg, PA",PA,East,District #13
15605,"Greensburg, PA",PA,East,District #13
